,keywords
23675,['martial arts']
23676,[]
23677,['dark comedy']
23678,[]
23679,[]
23680,['sport']
23681,[]
23682,['bollywood']
23683,[]
23684,[]
23685,"['animal attack', 'mad dog']"
23686,[]
23687,[]
23688,"['cat', 'animal horror']"
23689,"['tribe', 'jungle', 'airplane crash', 'extreme violence', 'cannibal', 'piranha', 'sex slave']"
23690,"['palestine', 'disappearance']"
23691,"['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medical research', 'animal attack', 'plague', '3d']"
23692,[]
23693,"['dystopia', 'apocalypse', 'zombie', 'new york city', 'post nuclear', 'post apocalypse']"
23694,"['villain', 'superhero', 'computer animation', 'bollywood']"
23695,"['gun', 'thriller', 'gun battle', 'gore', 'woman', 'action']"
23696,"['gay', 'male nudity', 'pedophilia', 'homosexuality', 'homosexual youth', 'bare butt']"
23697,[]
23698,['independent film']
23699,[]
23700,"['suicide', 'male nudity', 'female nudity', 'shotgun', 'restaurant', 'nudity', 'motel', 'highway', 'police', 'psychopath', 'murder', 'travel', 'gore', 'serial killer', 'gang', 'blood', 'slasher', 'torture', 'crash', 'extreme violence', 'violence', 'country', 'trailer', 'wrecking yard', 'kiddnapping', 'tracking device', 'person in car trunk']"
23701,"['corruption', 'scandal', 'fraud', 'lawyer', 'trial', 'business', 'ponzi scheme', 'hedge fund']"
23702,"['daughter', 'kansas', 'railroad', 'freight', 'freight company']"
23703,['slacker']
23704,"['corruption', 'kidnapping', 'drug']"
23705,"['romance', 'betrayal', 'grudge']"
23706,"['afghanistan', 'safety', 'armored car', 'bagdad', 'iraq', 'car salesman', 'kabul', 'woman director']"
23707,"['suicide', 'family']"
23708,"['biography', 'carrier pigeon']"
23709,[]
23710,"['california', 'farm', 'extraterrestrial', 'alien', 'dysfunctional family', 'independent film', 'mute', 'bird attack', 'dog', 'desert', 'german shepherd', 'animal attack', 'alien attack']"
23711,['military school']
23712,[]
23713,"['skateboarding', 'sex', 'beach', 'party', 'independent film', 'summer', 'teenager', 'teensploitation']"
23714,[]
23715,"['historical fiction', 'buffalo bill']"
23716,"['possessed', 'demon', 'occult', 'demonic possession']"
23717,['woman director']
23718,[]
23719,[]
23720,[]
23721,[]
23722,[]
23723,"['grandfather granddaughter relationship', 'neighbor', 'wealthy', 'elderly', 'estrangement']"
23724,[]
23725,"['countryside', 'murder', 'masked killer', 'torture', 'home invasion', 'family']"
23726,[]
23727,[]
23728,[]
23729,"['television', 'murder', 'alien', 'axe murder', 'convenience store', 'canuxploitation']"
23730,"['cave', 'murder', 'slasher', 'violence', 'axe murder', 'radio dj', 'proto-slasher']"
23731,[]
23732,[]
23733,"['airport', 'pilot', 'airplane', 'psychopath', 'nuclear power plant', 'aviation', 'airplane hijacking', 'disaster', 'suicidal', 'terrorism', 'disfigurement', 'insubordination']"
23734,"['asia', 'night', 'black magic', 'gothic horror', 'dark', 'religious cult', 'found footage']"
23735,[]
23736,"['marriage', 'internet', 'relationship', 'family', 'sex tape']"
23737,"['gay', 'based on novel', 'gay interest', 'male prostitute', 'hollywood']"
23738,[]
23739,"['holiday', 'female nudity', 'sex', 'beach', 'nudity', 'van', 'games', 'love', 'independent film', 'pinball', 'summer', 'teenager', 't shirt', 'pinball machine', 'canuxploitation']"
23740,['street shootout']
23741,"['independent film', 'conspiracy']"
23742,"['independent film', 'eyes', 'molecular biologist']"
23743,"['space war', 'training', 'space', 'alien', 'mecha', 'giant robot', 'robot', 'year 2023']"
23744,"['war', 'battle', 'korean war']"
23745,"['christianity', 'jesus christ', 'wrestling', 'rural setting']"
23746,"['cocaine', 'naples', 'soccer']"
23747,"['bus', 'assault rifle', 'sniper', 'machete', 'dystopia', 'psychopath', 'sequel', 'revenge', 'murder', 'survival', 'motorcycle', 'violence', 'one day', 'masked man', 'apartment', 'death', 'survival horror', 'gatling gun']"
23748,"['detective', 'thief', 'rescue', 'train', 'dock']"
23749,"['baby', 'department store', 'musical', 'christmas']"
23750,"['horse', 'australia', 'christmas']"
23751,"['painter', 'rivalry', 'teacher', 'school', 'battle', 'art', 'arrogance']"
23752,"['marvel comic', 'spaceship', 'space', 'outer space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']"
23753,"['castle', 'ghost', 'brick']"
23754,['woman director']
23755,['miniseries']
23756,"['detective', 'nudity', 'wife', 'investigation', 'suspense', 'disappearance', 'giallo', 'husband', 'woman director']"
23757,"['hacker', 'supernatural powers', 'road trip', 'independent film', 'superpower', 'boyfriend girlfriend relationship', 'secret laboratory']"
23758,['woman director']
23759,"['bomb', 'bus', 'bus ride', 'saboteur']"
23760,['romance']
23761,[]
23762,"['grandfather grandson relationship', 'colorado', 'dysfunctional family', 'coming of age', 'summer', 'teenager', 'teenage boy']"
23763,[]
23764,"['party', 'superhero', 'coming of age', 'superhero spoof']"
23765,"['camping', 'tent', 'bigfoot', 'motel', 'flashlight', 'interview', 'forest', 'hiking', 'ranger', 'video camera', 'found footage', 'creek', 'sasquatch']"
23766,"['cia', 'arms dealer', 'sequel', 'rescue mission', 'hospital', 'battle', 'sledgehammer', 'revolver']"
23767,"['love triangle', 'friendship', 'two man army', 'train', 'gangster', 'train robbery', 'coal', 'fight on train roof']"
23768,"['love', 'based on play or musical', 'family relationships', 'death of lover']"
23769,"['revenge', 'serial killer']"
23770,[]
23771,"['mercenary', 'battle', 'ancient greece', 'hercules', 'warrior', 'sagen']"
23772,"['live', 'monty python']"
23773,"['mother', 'refugee', 'world war ii', 'daughter', 'mother daughter relationship', 'poland', 'woman director']"
23774,[]
23775,['friendship']
23776,"['overweight', 'nightclub', 'seduction', 'diet', 'crush', 'camp', 'doctor', 'teenager', 'trilogy', 'desire', 'nutrition']"
23777,[]
23778,[]
23779,"['terror', 'muslim', 'intelligence', 'immigrant', 'torture', 'surveillance', 'security']"
23780,['nick carter']
23781,"['private school', 'photography', 'music', 'high school', 'friends', 'teacher', 'teacher student relationship', 'woman director', 'hippy', 'smartphone', 'music industry']"
23782,"['jew', 'independent film', 'homeschooling', 'family', 'struggling actor']"
23783,"['japan', 'exploitation', 'misery', 'forced prostitution']"
23784,"['prison', 'lgbt']"
23785,"['jules verne', 'based on novel', 'snake', 'lava', 'volcano', 'spider', 'comet', 'lizard', 'dinosaur', 'duel', 'stock footage', 'prehistoric man']"
23786,"['silent film', 'amusement park', 'keystone kops']"
23787,['silent film']
23788,[]
23789,"['love triangle', 'cave', 'summer residence', 'forest', 'growing up', 'teenage sexuality']"
23790,[]
23791,[]
23792,"['roman empire', 'ancient rome', 'biography', 'history']"
23793,[]
23794,['russian prince']
23795,[]
23796,[]
23797,['woman director']
23798,[]
23799,[]
23800,[]
23801,"['spain', 'sister sister relationship', 'big family', 'wedding', 'soccer', 'twins', 'family']"
23802,"['california', 'settler']"
23803,['africa']
23804,[]
23805,"['video game', 'gymnastics', 'airport', 'paraplegic', 'gun', 'atlanta', 'nanny', 'wheelchair', 'babysitter', 'jesus christ', 'telekinesis', 'basketball', 'alien', 'hospital', 'car accident', 'pregnancy', 'bird attack', 'young girl', 'pong', 'evil child']"
23806,[]
23807,"['female nudity', 'helicopter', 'refugee', 'cat', 'river', 'deputy sheriff', 'hostage', 'shower', 'kidnapping', 'nudity', 'bus ride', 'baseball bat', 'kitchen', 'psychopath', 'stripper', 'hamburger', 'elementary school', 'woods', 'murder', 'dress', 'video camera', 'television producer', 'memory', 'psychological thriller', 'dinner', 'violence', 'police station', 'kicked in the crotch', 'held captive', 'attempted rape', 'falling down stairs', 'heavy rain', 'holding cell', 'missing person', 'underwater scene', 'unwanted kiss', 'puppet show', 'talking to animals', 'small town sheriff', 'exotic dancer', 'push ups', 'woman in jeopardy', 'serial rapist', 'rat', 'pole dancing', 'body in a trunk', 'motel room', 'bathrobe']"
23808,['homeless person']
23809,[]
23810,['woman director']
23811,['teenage girl']
23812,"['father son relationship', 'kidnapping', 'undercover agent', 'biker', 'cop', 'father son conflict']"
23813,[]
23814,['animation']
23815,"['boy', 'prank', 'spanking', 'gardener', 'prankster', 'short', 'water hose']"
23816,"['husky', 'snow', 'family holiday']"
23817,['woman director']
23818,[]
23819,[]
23820,"['infidelity', 'woman director']"
23821,"['alien', 'found footage']"
23822,"['berlin wall', 'secret', 'trial']"
23823,"['sequel', 'based on comic', 'jungle', 'based on graphic novel', 'bank account', 'begins with a flashback', 'crime against humanity', 'swiss bank account']"
23824,"['poison', 'nurse', 'infidelity', 'operation', 'hunger', 'world war i', 'hand grenade', 'knife', 'shelter', 'village', 'marriage', 'dying man', 'singer', 'family relationships', 'attack', 'infantry', 'military officer', 'dead soldier', 'tank', 'helmet', 'steel helmet', 'poverty', 'black and white', 'doctor', 'explosion', 'dog', 'nervous breakdown', 'death', 'machine gun', 'artillery', 'cuckold', 'red cross', 'blindness', 'mud', 'shell shock', 'german soldier', 'comradeship', 'runner', 'western front', 'furlough', '1910s', 'amputee', 'german abroad', 'comrade']"
23825,"['biography', 'woman director']"
23826,[]
23827,[]
23828,[]
23829,"['street artist', 'dance contest', 'woman director']"
23830,"['secret passage', 'murder', 'investigator', 'grabbed from behind']"
23831,['amazon women']
23832,['robot as menace']
23833,"['video game', 'nerd', 'arcade', 'computer games', 'atari', 'gaming', 'playstation', 'online gaming']"
23834,[]
23835,['film maker']
23836,['spanish civil war']
23837,"['monster', 'octopus', 'giant monster', 'decapitation', 'scientist', 'shark', 'sea monster', 'tentacles']"
23838,['british officer']
23839,"['seasickness', 'short', 'moving van']"
23840,[]
23841,"['obsession', 'car trouble']"
23842,"['college', 'train', 'twins', 'jusge']"
23843,['independent film']
23844,[]
23845,"['spain', 'jealousy', 'rejection', 'woman director', '20th century']"
23846,[]
23847,"['motorcycle', 'motorcycle gang']"
23848,"['australian', 'australia', 'police', 'dirty cop', 'hit and run', 'accident']"
23849,"['brother brother relationship', 'small town', 'hostage', 'motel', 'dystopia', 'australia', 'rifle', 'money', 'car accident', 'theft', 'dog', 'car chase', 'desert', 'neo-western', 'midget']"
23850,['tour de france']
23851,"['sea', 'repayment', 'shark attack', 'musical', 'gold rush', 'treasure hunt', 'rivalry', 'shark']"
23852,[]
23853,"['biography', 'james brown']"
23854,[]
23855,"['speed', 'racing', 'race car driver', 'formula one']"
23856,[]
23857,"['spaceship', 'space adventure', 'rubber duck']"
23858,['woman director']
23859,"['suicide', 'infidelity', 'vampire', 'seduction', 'madness', 'silent film', 'seductress', 'financial ruin']"
23860,"['provence', 'magic', 'aunt', 'spiritualist']"
23861,[]
23862,[]
23863,[]
23864,[]
23865,['blaxploitation']
23866,['woman director']
23867,[]
23868,[]
23869,[]
23870,"['stockholm syndrome', 'kidnapping', 'revenge', 'betrayal', 'dark comedy', 'gangster', 'drug trafficking', 'crime lord', 'contract killer', 'vengeance']"
23871,"['haunted house', 'father-in-law', 'superstition', 'house arrest', 'basement', 'mystery', 'plot twist', 'exploding head', 'security guard', 'garden shears', 'dentures', 'home detention']"
23872,[]
23873,[]
23874,"['puppeteer', 'garden gnome', 'times square']"
23875,['french movies']
23876,"['france', 'based on novel', 'indian lead', 'restaurant', 'family']"
23877,"['dc comics', 'superhero', 'based on comic', 'spin off']"
23878,"['loss of family', 'kids and family']"
23879,"['motor sport', 'cycling']"
23880,[]
23881,"['immigration', 'illegal immigration', 'immigration law', 'film noir']"
23882,[]
23883,['martial arts']
23884,"['dominatrix', 'bdsm']"
23885,"['river', 'camping', 'wilderness', 'ax', 'cabin', 'forest', 'hiking', 'vacation', 'revenge', 'burned alive', 'murder', 'dam', 'independent film', 'stalking', 'bear trap', 'decapitation', 'severed head', 'doctor', 'maniac', 'lost', 'campfire', 'gay lead character', 'canuxploitation']"
23886,['woman director']
23887,"['poison', 'martial arts', 'decapitation', 'wuxia', 'herbal medicines']"
23888,"['male nudity', 'female nudity', 'sexual obsession', 'based on novel', 'nudity', 'blood splatter', 'murder', 'giallo', 'reporter', 'psycho', 'voyeur']"
23889,"['kidnapping', 'police', 'suspense', 'invasion of privacy', 'hacking', 'thesis', 'found footage', 'online chat', 'deep web']"
23890,['woman director']
23891,[]
23892,['bulldog drummond']
23893,[]
23894,"['massage', 'limousine', 'executioner']"
23895,"['jupiter', 'space', 'woman director', '3d', 'interspecies romance']"
23896,"['martial arts', 'terrorist', 'hero', 'mutation', 'van', 'turtle', 'vigilante', 'superhero', 'based on comic', 'ninja', 'new york city', 'sewer', 'reboot', 'science experiment', '3d']"
23897,[]
23898,['woman director']
23899,[]
23900,[]
23901,"['runaway', 'fbi', 'love', 'mobster', 'couple']"
23902,[]
23903,"['french movies', 'animation', 'animated short', 'short']"
23904,"['murder', 'crime scene', 'found footage']"
23905,"['dystopia', 'black and white', 'based on young adult novel']"
23906,[]
23907,['woman director']
23908,[]
23909,[]
23910,['mr wong']
23911,[]
23912,[]
23913,['woman director']
23914,[]
23915,"['robbery', 'amnesia', 'diplomat', 'trial', 'trap', 'eiffel tower paris', 'locket', 'nightclub singer']"
23916,[]
23917,"['corruption', 'robbery', 'kidnapping', 'nightclub', 'male friendship', 'investigation', 'police', 'party', 'murder', 'mobster', 'los angeles', 'lying', 'impersonating a police officer', 'flashback']"
23918,['female nudity']
23919,['woman director']
23920,[]
23921,[]
23922,['d-day']
23923,['music video']
23924,"['southern usa', 'based on novel', 'slavery', 'plantation', 'interracial relationship', 'racism']"
23925,"['nurse', 'serial killer', 'strangulation']"
23926,['woman director']
23927,[]
23928,"['judge', 'euthanasia']"
23929,"['denmark', 'copenhagen', 'peace', 'superhero', 'good vs evil', 'bug', 'childhood', 'evil bug', 'fleas', 'teen superheroes']"
23930,"['superhero', 'teen superheroes']"
23931,"['post-apocalyptic', 'war', 'mecha', 'cyberpunk']"
23932,[]
23933,"['kilt', 'underwear', 'british army', 'british empire', 'princess', 'india', '19th century', 'british raj']"
23934,[]
23935,"['sister sister relationship', 'housewife', 'sister']"
23936,['war']
23937,['the durango kid']
23938,"['male nudity', 'womanizer', 'gym', 'penis', 'pregnancy test', 'personal trainer', 'loss of penis', 'urologist', 'gym instructor']"
23939,"['college', 'uncle', 'singer']"
23940,[]
23941,"['holiday', 'australia', 'vacation']"
23942,"['based on novel', 'police chief', 'sequel', 'jesse stone']"
23943,"['political thriller', 'weapons trafficking', 'government secrets']"
23944,[]
23945,['colonialism']
23946,"['illness', 'journey']"
23947,"['jules verne', 'underwater']"
23948,"['vigilante', 'mafia']"
23949,[]
23950,"['asteroid', 'blood splatter', 'outer space', 'alien invasion', 'fire department']"
23951,"['mistress', 'embezzlement']"
23952,[]
23953,['stagecoach']
23954,"['poison', 'journalist', 'lethal injection', 'interview', 'cult', 'based on true story', 'suspense', 'thriller', 'brainwashing', 'massacre', 'cult leader', 'mumblegore']"
23955,[]
23956,"['detective', 'dystopia', 'dominatrix', 'murder', 'suspense', 'twins', 'based on graphic novel', 'dark horse comics', 'neo-noir', '3d']"
23957,"['writer', 'woman director']"
23958,[]
23959,[]
23960,"['nurse', 'ax', 'police', 'murder']"
23961,"['coma', 'musician', 'teenage girl', 'car accident', 'teenager', 'out of body experience', 'teen drama', 'based on young adult novel']"
23962,[]
23963,[]
23964,"['islam', 'middle east', 'muslim', 'war', 'religion', 'historical fiction', 'arab', 'mohammed']"
23965,"['tennessee', 'death of husband']"
23966,[]
23967,['return home']
23968,"['midlife crisis', 'punk', 'punk rock', 'parenthood', 'family', 'fatherhood', 'punk band']"
23969,[]
23970,['realism']
23971,"['female nudity', 'sex', 'drowning', 'cheating', 'nudity', 'supernatural', 'pregnancy', 'christmas']"
23972,"['woman director', 'activist']"
23973,"['heist', 'american football stadium']"
23974,['woman director']
23975,"['island', 'mysterious man', 'death', 'rich']"
23976,[]
23977,"['explosive', 'mexican revolution', 'train']"
23978,[]
23979,[]
23980,"['death of a child', 'mugging', 'mumblegore']"
23981,"['prostitute', 'hiv']"
23982,[]
23983,"['jewel', 'jewelry store']"
23984,"['loss of father', 'inheritance', 'family']"
23985,"['seduction', 'b movie', 'hitchhiker']"
23986,[]
23987,"['prostitute', 'hotel room', 'nudity', 'overweight man', 'housekeeper', 'sex scene', 'lesbian sex', 'nypd', 'arrested']"
23988,"['depression', 'suicide attempt', 'belgium', 'unemployment', 'injustice', 'employer employee relationship', 'bonus', 'economic crisis', 'xanax', 'family affairs']"
23989,[]
23990,"['transatlantic', 'tunnel']"
23991,[]
23992,[]
23993,"['undertaker', 'motorcycle']"
23994,[]
23995,[]
23996,[]
23997,[]
23998,[]
23999,"['paranoia', 'comet', 'alter ego', 'power outage', 'candle', 'parallel world', 'alternate reality', 'dinner party', 'ketamine', 'quantum physics', 'broken cellphone', 'glowstick']"
24000,"['paris', 'maid', 'bee']"
24001,[]
24002,['charlie chan']
24003,['birdwatching']
24004,"['cancer', 'dying woman']"
24005,"['jewel thief', 'arsene lupin']"
24006,[]
24007,[]
24008,"['biography', 'mexican', 'hollywood star']"
24009,"['monster', 'darkness', 'desert', 'archaeologist', 'lost', 'found footage', 'egyptology', 'anubis']"
24010,"['bigfoot', 'creature', 'found footage']"
24011,[]
24012,"['kidnapping', 'detroit']"
24013,"['female nudity', 'assassin', 'alligator', 'shootout', 'espionage', 'cajun', 'cooking competition']"
24014,"['paris', 'treasure', 'catacombs', 'scientist', 'singing in a car', 'archaeologist', 'loss of friend', 'subjective camera', 'found footage', 'thick accent', 'female archeologist', 'burning car', ""philosopher's stone"", 'french accent', 'rapping in a car']"
24015,[]
24016,[]
24017,[]
24018,[]
24019,['charlie chan']
24020,['ghost']
24021,['charlie chan']
24022,"['gang', 'gang warfare']"
24023,"['nurse', 'doctor', 'gangster', 'death threat']"
24024,[]
24025,"['weekend', 'therapist', 'marriage', 'dilemma', 'escape', 'couple', 'discovery', 'retreat', 'help', 'feelings']"
24026,['los angeles']
24027,[]
24028,[]
24029,[]
24030,[]
24031,[]
24032,[]
24033,"['spain', 'drug traffic', 'police', 'smuggling', 'hashish', 'drug', 'narcotics cop']"
24034,"['terror', 'infection']"
24035,"['patriotism', 'german democratic republic', 'socialism', 'pop star', 'civil rights activist', 'war on freedom', 'tour', 'marxism', 'music', 'concert', 'trade union', 'music festival', 'revolt', 'emigrant']"
24036,"['pop culture', 'beauty', 'sociology', 'advertising', 'gender', 'gender roles', 'femininity', 'socialization', 'power relations', 'masculinity', 'social science', 'hierarchy', 'western society', 'social structures', 'ervig goffman', 'analysis', 'commercialism', 'gender ideals', 'ritualized cultural performance', 'objectification', 'subordination', 'infantilization']"
24037,"['bar', 'halloween', 'high school', 'iraq war veteran', 'murder', 'diner', 'mumblegore']"
24038,"['woodstock', 'music festival', 'woman director']"
24039,"['prequel', 'leprechaun']"
24040,['woman director']
24041,"['slavery', 'interracial relationship', 'racism', 'escape from slavery']"
24042,['video game']
24043,[]
24044,"['paris', 'france', 'singer']"
24045,[]
24046,[]
24047,['woman director']
24048,"['secret identity', 'guest', 'werewolf', 'creature feature', 'hunt']"
24049,[]
24050,[]
24051,"['oklahoma', 'father', 'oil']"
24052,['suspense']
24053,[]
24054,"[""women's prison""]"
24055,"['ex-cop', 'bail bondsman']"
24056,"['plantation', 'con man', 'silent film']"
24057,"['blaxploitation', 'star crossed lovers']"
24058,"['fisherman', 'shrimp']"
24059,"['law', 'marriage', 'murder']"
24060,"['banker', 'great depression', 'baron', 'secretary', 'pre-code', 'stenographer', 'dictation']"
24061,['dystopia']
24062,[]
24063,[]
24064,"['music', 'culture']"
24065,['b movie']
24066,['street kid']
24067,[]
24068,[]
24069,[]
24070,['young']
24071,[]
24072,[]
24073,[]
24074,"['amnesia', 'therapist', 'aggression', 'hospital', 'flashback']"
24075,[]
24076,[]
24077,"['trilogy', 'ayn rand']"
24078,"['18th century', 'seven years war', 'prussia']"
24079,"['divorce', 'miscarriage', 'actor']"
24080,['lgbt']
24081,"['tornado', 'student', 'found footage', 'disaster movie']"
24082,['series of murders']
24083,"['apocalypse', 'endzeit']"
24084,"['female nudity', 'hotel room', 'trauma', 'death of a child', 'love', 'con artist', 'writer', 'maid', 'incest', 'unfaithful husband', 'personality disorder', 'existential loneliness', 'alexithymia']"
24085,"['lake', 'honeymoon', 'woods', 'sleepwalking', 'woman director', 'mumblegore']"
24086,[]
24087,"['washington d.c.', 'tennessee', 'president', 'andrew johnson']"
24088,"['robbery', 'bar', 'winter', 'blackmail', 'hitman', 'bartender', 'crime boss', 'organized crime', 'mobster', 'pitbull', 'church', 'catholic', 'brooklyn new york city', 'ex-con', 'super bowl', 'abandoned puppy']"
24089,"['brother brother relationship', 'motel', 'hit', 'run']"
24090,"['egypt', 'immigration', 'expedition', 'mummy', 'curse', 'archaeologist', 'tomb']"
24091,"['woman director', 'part fiction', 'docu fiction']"
24092,[]
24093,[]
24094,"['sex', 'crab', 'drug use', 'drug', 'dog', 'strong language', 'adult animation']"
24095,"['new york', 'adultery', 'confession', 'brother sister relationship', 'infidelity', 'bisexuality', 'rejection', 'cowardice', 'reunion', 'death of father', 'mother daughter relationship', 'lesbian', 'in the closet', 'teacher student relationship', 'mother son relationship', 'lgbt', 'gay lead character', 'gay brother', 'estrangement', 'fraternal twins', 'new ager', 'twin synchronization']"
24096,['anime']
24097,"['gun', 'grave', 'nightmare', 'tape', 'hell', 'surrealism', 'evil spirit', 'gore', 'serial murder', 'violence', 'demon']"
24098,['forest']
24099,"['vampire', 'new england']"
24100,['civil war']
24101,"['arizona', 'giant spider', 'spiders']"
24102,"['new york city', 'pianist', 'carnegie hall']"
24103,['korean movie']
24104,[]
24105,[]
24106,"['skateboarding', 'underground', 'graffiti']"
24107,"['female nudity', 'rape', 'small town', 'fishing', 'car mechanic', 'sadism', 'farm', 'forest', 'vice', 'bullying', 'revenge', 'murder', 'car crash', 'independent film', 'redneck', 'torture', 'violence', 'burning man', 'canuxploitation']"
24108,[]
24109,"['spy', 'villain', 'undercover agent', 'british', 'farce', 'espionage', 'carry on', 'spoof', 'britain', 'female spy', 'agent', 'secret service', 'top secret']"
24110,"['banker', 'engineer', 'adventurer']"
24111,"['brit noir', 'film noir']"
24112,"['sequel', 'private detective', 'charlie chan']"
24113,['climate']
24114,[]
24115,"['secret', 'research', 'government', 'conspiracy', 'torture', 'explosion', 'sabotage']"
24116,[]
24117,[]
24118,[]
24119,"['detective', 'murder', 'patient', 'psychiatrist', 'dead woman', 'widower', 'hit and run', 'good cop bad cop']"
24120,"['based on novel', 'maze', 'post-apocalyptic', 'dystopia', 'escape', 'memory loss', 'erased memory', 'trapped', 'dystopic future', 'runner', 'based on young adult novel']"
24121,"['sadistic', 'hostage', 'sociopath', 'serial killer', 'blood', 'escaped convict', 'murderer', 'home invasion', 'killer', 'deadly', 'escaped killer']"
24122,"['guantanamo bay', 'female soldier', 'female protagonist', 'american abroad', 'military police', 'unlikely friendship', 'thick accent', 'detainee']"
24123,[]
24124,"['submarine', 'shanghai', 'navy']"
24125,[]
24126,[]
24127,[]
24128,[]
24129,[]
24130,"['prison', 'sing sing']"
24131,['monastery']
24132,[]
24133,[]
24134,"['new world order', 'barack obama']"
24135,[]
24136,[]
24137,"['sequel', 'creature', 'shark', 'tv movie', 'creature feature', 'disaster movie']"
24138,"['england', 'alcohol', 'college', 'rivalry', 'based on play or musical', 'wealthy', 'initiation', 'oxford england', 'debauchery', 'woman director', 'young adult', 'oxford university', 'boys club', 'entitlement']"
24139,"['based on novel', 'murder', 'mafia', 'private investigator', 'new york city', 'alcoholic', 'kingpin', 'wife murder', 'matt scudder']"
24140,"['kidnapping', 'biography', 'documentary', 'deserted island', 'police investigation', 'woman director', 'dissension', 'floreana island', 'new settlers', 'deaths']"
24141,"['paris', 'writer', 'apartment']"
24142,['blaxploitation']
24143,['woman director']
24144,['dementia']
24145,"['wealthy', 'summer', 'teenager', 'wealthy teens']"
24146,[]
24147,"['friendship', 'coming of age', 'mother daughter relationship', 'female protagonist', 'father daughter relationship', 'mumblecore', 'woman director', 'young women']"
24148,['political thriller']
24149,[]
24150,"['new orleans', 'cajun']"
24151,"['israeli palestinian conflict', 'informant']"
24152,"['anorexia', 'psychiatric hospital', 'pop music', 'lifeguard']"
24153,['woman director']
24154,['woman director']
24155,"['letter', 'postman', 'b movie']"
24156,[]
24157,"['vacation', 'family']"
24158,"['terror', 'usa president', 'form of government', 'presidential election', 'global warming', 'government', 'president', 'conspiracy', 'conspiracy theory', 'small community']"
24159,[]
24160,['independent film']
24161,"['isolation', 'cabin', 'infection', 'delusion', 'outbreak', 'zombie']"
24162,[]
24163,"['female nudity', 'dark comedy', 'family vacation', 'avalanche', 'running away', 'swedish', 'near-death experience', 'french alps', 'psychodrama', 'husband wife relationship', 'vacation gone wrong', 'ski holiday', 'swedish family']"
24164,[]
24165,"['usa', 'puberty', ""love of one's life"", 'bavaria', 'au pair', 'female friendship', 'daughter', 'birthday party', 'vw-bus', 'teenage crush', 'alcohol abuse']"
24166,"['robber', 'bavaria']"
24167,['book']
24168,[]
24169,[]
24170,"['world war ii', 'society', 'freemason', 'friendship', 'war', 'slaughter', 'russian front', 'eastern front']"
24171,[]
24172,"['home invasion', 'silent film']"
24173,"['brother brother relationship', 'hereditary disease', 'hitman', 'murder', 'mysterious woman']"
24174,[]
24175,"['night life', 'music', 'punk rock', 'ramones', 'nyc', 'talking head', 'blondie', 'iggy pop', 'patti smith']"
24176,[]
24177,"['western', 'miniseries', 'family saga']"
24178,"['dancing', 'based on novel', 'revenge', 'native american', 'violence', 'wild west', 'driven insane', 'abusive marriage', 'refused services', 'prison wagon', 'lost in the desert', 'buffalo skin']"
24179,['biography']
24180,[]
24181,"['runaway', 'horse', 'iron cage', 'ciircus', 'runaway teen']"
24182,"['europe', 'red cross']"
24183,"['revenge', 'justice', 'accountant', 'unassuming', 'freemasonry']"
24184,[]
24185,[]
24186,[]
24187,"['surreal', 'surrealism', 'animation', 'adult animation', 'animated short', 'short', 'traditional animation']"
24188,"['surreal', 'surrealism', 'animation', 'adult animation', 'animated short', 'short', 'traditional animation']"
24189,[]
24190,"['cia', 'retired', 'agent']"
24191,[]
24192,[]
24193,"['addiction', 'cigarette smoking']"
24194,"['sex', 'based on novel', 'mystery', 'disappearance', 'missing person', 'teenage sexuality']"
24195,"['stop motion', 'animation', 'adult animation', 'animated short', 'short', 'traditional animation']"
24196,"['historical figure', 'charles manson', 'serial killer']"
24197,[]
24198,"['rise and fall', 'movie studio', 'b movie', 'hollywood', 'filmmaking', 'showbiz', '1980s']"
24199,[]
24200,"['sex', 'thanksgiving', 'friendship', 'high school', 'love', 'coming of age', 'wild party']"
24201,"['hacker', 'computer', 'bka', 'bnd']"
24202,['werewolf']
24203,"['revolution', 'education', 'school', 'moral ambiguity']"
24204,['independent film']
24205,['woman director']
24206,[]
24207,"['based on novel', 'stop motion', 'father daughter relationship', 'unlikely friendship', 'duringcreditsstinger']"
24208,"['princess', 'japanese woman', 'based on fairy tale', 'japanese folklore', 'bamboo', 'anime']"
24209,"['martial arts', 'secret agent']"
24210,[]
24211,[]
24212,"['friendship', 'portrait']"
24213,[]
24214,"['spy', 'gangster', 'police inspector']"
24215,"['stunts', 'diver', 'sailor']"
24216,"['navy', 'blonde', 'sailor']"
24217,[]
24218,"['animation', 'animated short', 'short', 'traditional animation']"
24219,"['animation', 'animated short', 'short', 'traditional animation']"
24220,"['clown', 'based on play or musical', 'silent film', 'fools']"
24221,"['norway', 'world war ii', 'biography']"
24222,[]
24223,[]
24224,[]
24225,"['based on novel', 'funeral', 'dysfunctional family', 'death of father', 'man child', 'family', 'mourning', 'grieving']"
24226,[]
24227,[]
24228,[]
24229,['sauna']
24230,"['san francisco', 'nevada', 'con man', 'transformation', 'tycoon', 'wells fargo', 'assayer']"
24231,"['egg', 'girl', 'city', 'gothic', 'fossil']"
